,0
0,15:15:04
1,15:15:04
2,15:15:04
3,15:15:04
4,15:15:04
5,15:15:04
6,15:15:04
7,15:15:04
8,15:15:04
9,15:16:44
10,15:16:44
11,15:16:44
12,15:16:44
13,15:16:44
14,15:16:44
15,15:16:44
16,15:16:44
17,15:16:44
18,15:16:44
19,15:16:44
20,15:16:44
21,15:16:44
22,15:16:44
23,15:16:44
24,15:16:44
25,15:16:44
26,15:16:44
27,15:18:20
28,15:18:20
29,15:18:20
30,15:18:20
31,15:18:20
32,15:18:20
33,15:18:20
34,15:18:20
35,15:18:20
36,15:18:20
37,15:18:20
38,15:18:20
39,15:18:20
40,15:18:20
41,15:18:20
42,15:18:20
43,15:18:20
44,15:19:52
45,15:19:52
46,15:19:52
47,15:19:52
48,15:19:52
49,15:19:52
50,15:19:52
51,15:19:52
52,15:19:52
53,15:19:52
54,15:19:52
55,15:19:52
56,15:19:52
57,15:19:52
58,15:19:52
59,15:19:52
60,15:19:52
61,15:19:52
62,15:21:21
63,15:21:21
64,15:21:21
65,15:21:21
66,15:21:21
67,15:21:21
68,15:21:21
69,15:21:21
70,15:21:21
71,15:21:21
72,15:21:21
73,15:21:21
74,15:21:21
75,15:21:21
76,15:21:21
77,15:21:21
78,15:22:47
79,15:22:47
80,15:22:47
81,15:22:47
82,15:22:47
83,15:22:47
84,15:22:47
85,15:22:47
86,15:22:47
87,15:22:47
88,15:22:47
89,15:22:47
90,15:22:47
91,15:22:47
92,15:22:47
93,15:22:47
94,15:22:47
95,15:22:47
96,15:24:09
97,15:24:09
98,15:24:09
99,15:24:09
100,15:24:09
101,15:24:09
102,15:24:09
103,15:24:09
104,15:24:09
105,15:24:09
106,15:24:09
107,15:24:09
108,15:24:09
109,15:24:09
110,15:24:09
111,15:24:09
112,15:24:09
113,15:24:09
114,15:25:26
115,15:25:26
116,15:25:26
117,15:25:26
118,15:25:26
119,15:25:26
120,15:25:26
121,15:25:26
122,15:25:26
123,15:25:26
124,15:25:26
125,15:25:26
126,15:25:26
127,15:25:26
128,15:25:26
129,15:25:26
130,15:25:26
131,15:25:26
132,15:25:26
133,15:25:26
134,15:25:26
135,15:25:26
136,15:25:26
137,15:25:26
138,15:26:40
139,15:26:40
140,15:26:40
141,15:26:40
142,15:26:40
143,15:26:40
144,15:26:40
145,15:26:40
146,15:26:40
147,15:26:40
148,15:26:40
149,15:26:40
150,15:26:40
151,15:26:40
152,15:26:40
153,15:26:40
154,15:26:40
155,15:26:40
156,15:26:40
157,15:26:40
158,15:26:40
159,15:26:40
160,15:26:40
161,15:26:40
162,15:27:51
163,15:27:51
164,15:27:51
165,15:27:51
166,15:27:51
167,15:27:51
168,15:27:51
169,15:27:51
170,15:27:51
171,15:27:51
172,15:27:51
173,15:27:51
174,15:27:51
175,15:27:51
176,15:27:51
177,15:27:51
178,15:27:51
179,15:27:51
180,15:27:51
181,15:27:51
182,15:27:51
183,15:27:51
184,15:27:51
185,15:27:51
186,15:28:57
187,15:28:57
188,15:28:57
189,15:28:57
190,15:28:57
191,15:28:57
192,15:28:57
193,15:28:57
194,15:28:57
195,15:28:57
196,15:28:57
197,15:28:57
198,15:28:57
199,15:28:57
200,15:28:57
201,15:28:57
202,15:28:57
203,15:28:57
204,15:28:57
205,15:28:57
206,15:28:57
207,15:28:57
208,15:28:57
209,15:28:57
210,15:29:59
211,15:29:59
212,15:29:59
213,15:29:59
214,15:29:59
215,15:29:59
216,15:29:59
217,15:29:59
218,15:29:59
219,15:29:59
220,15:29:59
221,15:29:59
222,15:29:59
