dt,dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1491004800,2017-04-01 00:00:00 +0000 UTC,5037649,,,,286.86,286.15,287.15,1017,,,30,3,10,,,,,,,,,40,802,Clouds,scattered clouds,03d
1491008400,2017-04-01 01:00:00 +0000 UTC,5037649,,,,284.4,282.15,286.15,1018,,,34,2,350,,,,,,,,,40,802,Clouds,scattered clouds,03n
1491012000,2017-04-01 02:00:00 +0000 UTC,5037649,,,,281.85,278.15,285.15,1019,,,56,2,36,,,,,,,,,1,800,Clear,sky is clear,01n
1491015600,2017-04-01 03:00:00 +0000 UTC,5037649,,,,278.82,275.15,284.15,1019,,,49,2,36,,,,,,,,,1,800,Clear,sky is clear,01n
1491019200,2017-04-01 04:00:00 +0000 UTC,5037649,,,,277.49,274.15,283.15,1020,,,60,2,36,,,,,,,,,1,800,Clear,sky is clear,01n
1491022800,2017-04-01 05:00:00 +0000 UTC,5037649,,,,276.76,274.15,282.15,1020,,,64,1,53,,,,,,,,,1,800,Clear,sky is clear,01n
1491026400,2017-04-01 06:00:00 +0000 UTC,5037649,,,,275.01,273.15,277.15,1021,,,69,1,53,,,,,,,,,1,800,Clear,sky is clear,01n
1491030000,2017-04-01 07:00:00 +0000 UTC,5037649,,,,275.16,272.15,279.15,1021,,,69,1,53,,,,,,,,,1,800,Clear,sky is clear,01n
1491033600,2017-04-01 08:00:00 +0000 UTC,5037649,,,,274.49,273.15,277.15,1021,,,69,1,266,,,,,,,,,1,800,Clear,sky is clear,01n
1491037200,2017-04-01 09:00:00 +0000 UTC,5037649,,,,274.22,272.15,277.15,1021,,,74,1,266,,,,,,,,,1,800,Clear,sky is clear,01n
1491040800,2017-04-01 10:00:00 +0000 UTC,5037649,,,,273.69,272.15,276.15,1021,,,80,1,266,,,,,,,,,1,800,Clear,sky is clear,01n
1491044400,2017-04-01 11:00:00 +0000 UTC,5037649,,,,273.65,271.15,276.15,1022,,,80,1,237,,,,,,,,,1,800,Clear,sky is clear,01n
1491048000,2017-04-01 12:00:00 +0000 UTC,5037649,,,,272.89,271.15,275.15,1023,,,76,1,237,,,,,,,,,1,800,Clear,sky is clear,01n
1491051600,2017-04-01 13:00:00 +0000 UTC,5037649,,,,273.09,271.15,275.15,1023,,,76,1,237,,,,,,,,,1,800,Clear,sky is clear,01d
1491055200,2017-04-01 14:00:00 +0000 UTC,5037649,,,,276.61,274.15,279.15,1023,,,80,1,206,,,,,,,,,1,800,Clear,sky is clear,01d
1491058800,2017-04-01 15:00:00 +0000 UTC,5037649,,,,281.7,279.15,285.15,1023,,,45,2,200,,,,,,,,,1,800,Clear,sky is clear,01d
1491062400,2017-04-01 16:00:00 +0000 UTC,5037649,,,,285.33,282.15,288.15,1023,,,26,2,230,,,,,,,,,40,802,Clouds,scattered clouds,03d
1491066000,2017-04-01 17:00:00 +0000 UTC,5037649,,,,287.54,286.15,289.15,1022,,,26,2,240,,,,,,,,,40,802,Clouds,scattered clouds,03d
1491069600,2017-04-01 18:00:00 +0000 UTC,5037649,,,,288.72,288.15,290.15,1023,,,29,2,250,,,,,,,,,40,802,Clouds,scattered clouds,03d
1491073200,2017-04-01 19:00:00 +0000 UTC,5037649,,,,289.75,289.15,291.15,1022,,,31,2,210,,,,,,,,,1,800,Clear,sky is clear,01d
1491076800,2017-04-01 20:00:00 +0000 UTC,5037649,,,,290.15,289.15,291.15,1022,,,31,2,252,,,,,,,,,90,804,Clouds,overcast clouds,04d
1491080400,2017-04-01 21:00:00 +0000 UTC,5037649,,,,290.37,289.15,291.15,1021,,,63,2,330,,,,,,,,,40,802,Clouds,scattered clouds,03d
1491084000,2017-04-01 22:00:00 +0000 UTC,5037649,,,,290.82,290.15,292.15,1020,,,25,2,250,,,,,,,,,40,802,Clouds,scattered clouds,03d
1491087600,2017-04-01 23:00:00 +0000 UTC,5037649,,,,290.68,290.15,291.15,1020,,,64,2,320,,,,,,,,,40,802,Clouds,scattered clouds,03d
1491091200,2017-04-02 00:00:00 +0000 UTC,5037649,,,,289.89,289.15,291.15,1021,,,36,2,280,,,,,,,,,1,800,Clear,sky is clear,01d
1491094800,2017-04-02 01:00:00 +0000 UTC,5037649,,,,287.97,285.15,290.15,1020,,,44,1,236,,,,,,,,,1,800,Clear,sky is clear,01n
1491098400,2017-04-02 02:00:00 +0000 UTC,5037649,,,,284.47,280.15,289.15,1019,,,53,3,216,,,,,,,,,20,801,Clouds,few clouds,02n
